Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR1314503_2	SRR1314503_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2106458.0	0.0	20-101	49.0	82.48168509175355	82.13083194632885	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR13156974_1	SRR13156974_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	703428.0	0.0	100-251	51.0	83.76829772018381	231.25988871640027	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR13156974_2	SRR13156974_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	703428.0	0.0	100-251	51.0	83.95096305725606	216.02620452981685	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR13158550_1	SRR13158550_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1179252.0	0.0	100-251	51.0	74.20620504608056	235.94986652556028	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR13158550_2	SRR13158550_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1179252.0	0.0	100-251	50.0	74.55175528981253	211.28305569971474	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR13158578_1	SRR13158578_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2225390.0	0.0	100-151	50.0	55.93432452668	147.95717694426594	pass	pass		pass	fail	warn	pass	warn	warn	pass	pass
SRR13158578_2	SRR13158578_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2225390.0	0.0	100-151	50.0	55.84191294263652	147.7097686248253	pass	pass		pass	fail	warn	pass	warn	warn	pass	pass
SRR13195675_1	SRR13195675_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	734499.0	0.0	35-251	50.0	78.26936460259304	237.39955398169366	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR13195675_2	SRR13195675_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	734499.0	0.0	35-251	50.0	79.24687455376393	237.4403082917744	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13195682_1	SRR13195682_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1025296.0	0.0	35-251	50.0	73.53928529659602	238.44174267723662	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13195682_2	SRR13195682_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1025296.0	0.0	35-251	50.0	74.26022518913967	238.48093916293442	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13195688_1	SRR13195688_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1168090.0	0.0	35-251	50.0	70.02230079742482	237.30950526072476	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13195688_2	SRR13195688_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1168090.0	0.0	35-251	50.0	71.36599107020334	237.38353551524284	pass	warn		pass	fail	fail	pass	warn	pass	pass	pass
SRR13195690_1	SRR13195690_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	732341.0	0.0	35-251	50.0	77.61937400850569	238.55807335653745	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13195690_2	SRR13195690_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	732341.0	0.0	35-251	50.0	79.10662534698466	238.6188210137081	pass	warn		pass	fail	fail	pass	warn	pass	pass	pass
SRR13195696_1	SRR13195696_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	984901.0	0.0	35-251	50.0	72.86521545297104	239.84693791558746	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13195696_2	SRR13195696_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	984901.0	0.0	35-251	50.0	74.1473534826583	239.87047632198565	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13195707_1	SRR13195707_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1174546.0	0.0	35-251	50.0	70.78265372175588	236.80020024758502	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13195707_2	SRR13195707_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1174546.0	0.0	35-251	50.0	72.05246276844102	236.86515896354848	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
